603,70,67831
49911,84/2017-B-6,8204,100.00,0.00,24/05/2018,10:57:06,200044,Y
58758,37/2018-B-13,55719,100.00,0.00,24/05/2018,11:04:09,200045,Y
58419,18/2018-B-5,55330,600.00,0.00,24/05/2018,11:05:34,200046,Y
58461,19/2018-B-10,55375,100.00,0.00,24/05/2018,11:13:25,200047,Y
61151,92/18-B-21,57961,200.00,0.00,24/05/2018,11:31:42,200048,Y
61231,92/18-B-16,58030,200.00,0.00,24/05/2018,11:32:06,200049,Y
48253,13/2017-A-20,3505,400.00,0.00,24/05/2018,11:34:19,200050,Y
62081,TF25M01L-1090816,114,300.00,0.00,24/05/2018,11:36:46,200051,Y
62097,TF25M01L-1090820,577,300.00,0.00,24/05/2018,11:36:56,200052,Y
50982,109/2017-A-5,26727,200.00,0.00,24/05/2018,11:40:03,200053,Y
46924,165/2016-B-13,26890,200.00,0.00,24/05/2018,11:42:02,200054,Y
54304,208/2017-B-15,24082,200.00,0.00,24/05/2018,11:44:06,200055,Y
44510,222/2016-B-3,25812,1210.00,0.00,24/05/2018,11:52:38,200056,Y
53740,198/2017-B-3,30634,100.00,0.00,24/05/2018,11:59:35,200057,Y
58507,28/18-B-20,55427,100.00,0.00,24/05/2018,12:03:36,200058,Y
61179,86/18-A-6,4736,200.00,0.00,24/05/2018,12:07:13,200059,Y
52049,155/2017-B-19,29892,100.00,0.00,24/05/2018,12:10:01,200060,Y
58688,19/2018-B-20,55623,100.00,0.00,24/05/2018,12:10:28,200061,Y
53849,198/2017-A-11,870,300.00,0.00,24/05/2018,12:27:50,200062,Y
49754,73/2017-A-15,28636,500.00,0.00,24/05/2018,12:29:57,200063,Y
44516,222/2016-A-7,25607,500.00,0.00,24/05/2018,12:37:20,200064,Y
57399,234/17-A-6,54124,200.00,0.00,24/05/2018,12:49:44,200065,Y
59801,25/2018-B-5,56732,100.00,0.00,24/05/2018,12:53:03,200066,Y
50872,123/2017-A-2,8107,2000.00,0.00,24/05/2018,12:55:05,200067,Y
53249,190/2017-A-3,18929,500.00,0.00,24/05/2018,13:02:41,200068,Y
56267,236/17-A-19,52933,500.00,0.00,24/05/2018,13:12:18,200069,Y
54320,222/2017-B-6,30813,100.00,0.00,24/05/2018,13:15:03,200070,Y
55186,252/2017-A-15,51784,150.00,0.00,24/05/2018,13:16:52,200071,Y
52306,143/2017-A-4,1738,300.00,0.00,24/05/2018,13:21:22,200072,Y
61023,75/18-A-2,20047,500.00,0.00,24/05/2018,13:22:08,200073,Y
55936,204/17-A-3,52564,600.00,0.00,24/05/2018,13:24:13,200074,Y
49335,41/2017-A-8,22601,2000.00,0.00,24/05/2018,13:29:05,200075,Y
40519,112/2015-A-10,2528,201.00,0.00,24/05/2018,13:33:23,200076,Y
48463,176/2016-A-9,26087,1000.00,0.00,24/05/2018,13:45:13,200077,Y
50175,79/2017-A-7,1318,500.00,0.00,24/05/2018,13:46:45,200078,Y
56798,269/2017-A-18,5195,600.00,0.00,24/05/2018,13:51:30,200079,Y
48915,30/2017-A-8,433,2000.00,0.00,24/05/2018,14:31:54,200080,Y
52960,189/2017-B-10,702,500.00,0.00,24/05/2018,14:36:38,200081,Y
50811,97/2017-A-15,24055,10000.00,0.00,24/05/2018,14:41:36,200082,Y
54695,226/2017-A-5,2862,1200.00,0.00,24/05/2018,14:46:32,200083,Y
44185,122/2016-B-10,6506,3920.00,0.00,24/05/2018,14:53:30,200084,Y
46900,165/2016-B-2,250,500.00,0.00,24/05/2018,15:05:02,200085,Y
47363,287/2016-B-3,27250,3840.00,0.00,24/05/2018,15:29:30,200086,Y
56182,190/17-A-13,24966,400.00,0.00,24/05/2018,15:30:15,200087,Y
52818,154/2017-A-20,2078,100.00,0.00,24/05/2018,15:49:38,200088,Y
52554,204/2017-A-5,1054,400.00,0.00,24/05/2018,15:53:03,200089,Y
55909,273/2017-B-23,24698,3000.00,0.00,24/05/2018,16:01:16,200090,Y
55906,241/2017-A-7,27439,300.00,0.00,24/05/2018,16:03:10,200091,Y
62298,106/18-B-11,58901,50.00,0.00,24/05/2018,16:09:26,200092,Y
60509,38/2018-A-7,57370,600.00,0.00,24/05/2018,16:14:16,200093,Y
57122,01/18-A-3,53872,200.00,0.00,24/05/2018,16:25:40,200094,Y
51622,120/2017-B-4,29693,3460.00,0.00,24/05/2018,16:29:21,200095,Y
59359,18/2018-B-25,56273,3150.00,0.00,24/05/2018,16:36:21,200096,Y
55430,252/2017-A-16,4080,200.00,0.00,24/05/2018,16:43:13,200097,Y
46926,165/2016-B-14,946,200.00,0.00,24/05/2018,16:44:16,200098,Y
58860,25/2018-A-12,55786,200.00,0.00,24/05/2018,16:46:09,200099,Y
56859,30/2018-A-6,22369,500.00,0.00,24/05/2018,16:51:53,200100,Y
47412,174/2016-A-18,7437,5000.00,0.00,24/05/2018,16:54:03,200101,Y
48754,29/2017-A-4,28364,500.00,0.00,24/05/2018,16:56:49,200102,Y
48751,29/2017-A-2,22627,1500.00,0.00,24/05/2018,16:57:20,200103,Y
52300,147/2017-A-16,30038,200.00,0.00,24/05/2018,16:58:15,200104,Y
61685,92/18-B-20,58585,200.00,0.00,24/05/2018,16:58:50,200105,Y
48391,14/2017-B-2,28069,200.00,0.00,24/05/2018,17:01:58,200106,Y
58835,23/18-B-11,55793,200.00,0.00,24/05/2018,17:06:41,200107,Y
48544,21/2017-B-2,28022,2400.00,0.00,24/05/2018,17:10:35,200108,Y
49474,43/2017-A-18,28029,500.00,0.00,24/05/2018,17:15:38,200109,Y
47382,287/2016-B-21,1195,800.00,0.00,24/05/2018,17:17:35,200110,Y
48040,06/2017-B-4,18907,100.00,0.00,24/05/2018,17:20:30,200111,Y
56930,257/2017-A-9,9909,6050.00,0.00,24/05/2018,17:30:31,200112,Y
59430,25/2018-A-20,18166,200.00,0.00,24/05/2018,17:34:34,200113,Y
